year,team_abbr,team_name_full,stadium,attendance_total,attendance_game
2014,NYM,New York Mets,Citi Field,"2,148,808","26,528"
2014,NYY,New York Yankees,Yankee Stadium III,"3,401,624","41,995"
2014,ATH,Oakland Athletics,O.co Coliseum,"2,003,628","24,736"
2014,PHI,Philadelphia Phillies,Citizens Bank Park,"2,423,852","29,924"
2014,PIT,Pittsburgh Pirates,PNC Park,"2,442,564","30,155"
2014,SD,San Diego Padres,Petco Park,"2,195,373","27,103"
2014,SF,San Francisco Giants,AT&T Park,"3,368,697","41,589"
2014,SEA,Seattle Mariners,Safeco Field,"2,064,334","25,486"
2014,STL,St. Louis Cardinals,Busch Stadium III,"3,540,649","43,712"
2014,TB,Tampa Bay Rays,Tropicana Field,"1,446,464","17,858"
2014,TEX,Texas Rangers,Globe Life Park in Arlington,"2,718,733","33,565"
2014,TOR,Toronto Blue Jays,Rogers Centre,"2,375,525","29,327"
2014,WAS,Washington Nationals,Nationals Park,"2,579,389","31,844"
2013,ARI,Arizona Diamondbacks,Chase Field,"2,134,895","26,357"
2013,ATL,Atlanta Braves,Turner Field,"2,548,679","31,465"
2013,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,357,561","29,106"
2013,BOS,Boston Red Sox,Fenway Park,"2,833,333","34,979"
2013,CHC,Chicago Cubs,Wrigley Field,"2,642,682","32,626"
2013,CWS,Chicago White Sox,U.S. Cellular Field,"1,768,413","21,832"
2013,CIN,Cincinnati Reds,Great American Ball Park,"2,492,101","31,151"
2013,CLE,Cleveland Indians,Progressive Field,"1,572,926","19,419"
2013,COL,Colorado Rockies,Coors Field,"2,793,828","34,492"
2013,DET,Detroit Tigers,Comerica Park,"3,083,397","38,067"
2013,HOU,Houston Astros,Minute Maid Park,"1,651,883","20,394"
2013,KC,Kansas City Royals,Kauffman Stadium,"1,750,754","21,614"
2013,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,019,505","37,278"
2013,LAD,Los Angeles Dodgers,Dodger Stadium,"3,743,527","46,216"
2013,MIA,Miami Marlins,Marlins Park,"1,586,322","19,584"
2013,MIL,Milwaukee Brewers,Miller Park,"2,531,105","31,248"
2013,MIN,Minnesota Twins,Target Field,"2,477,644","30,588"
2013,NYM,New York Mets,Citi Field,"2,135,657","26,366"
2013,NYY,New York Yankees,Yankee Stadium III,"3,279,589","40,489"
2013,ATH,Oakland Athletics,O.co Coliseum,"1,809,302","22,337"
2013,PHI,Philadelphia Phillies,Citizens Bank Park,"3,012,403","37,190"
2013,PIT,Pittsburgh Pirates,PNC Park,"2,256,862","27,862"
2013,SD,San Diego Padres,Petco Park,"2,166,691","26,749"
2013,SF,San Francisco Giants,AT&T Park,"3,369,106","41,087"
2013,SEA,Seattle Mariners,Safeco Field,"1,761,546","21,747"
2013,STL,St. Louis Cardinals,Busch Stadium III,"3,369,769","41,602"
2013,TB,Tampa Bay Rays,Tropicana Field,"1,510,300","18,646"
2013,TEX,Texas Rangers,Rangers Ballpark in Arlington,"3,178,273","38,759"
2013,TOR,Toronto Blue Jays,Rogers Centre,"2,536,562","31,316"
2013,WAS,Washington Nationals,Nationals Park,"2,652,422","32,746"
2012,ARI,Arizona Diamondbacks,Chase Field,"2,177,617","26,884"
2012,ATL,Atlanta Braves,Turner Field,"2,420,171","29,879"
2012,BAL,Baltimore Orioles,Oriole Park at Camden Yards,"2,102,240","25,954"
2012,BOS,Boston Red Sox,Fenway Park,"3,043,003","37,568"
2012,CHC,Chicago Cubs,Wrigley Field,"2,882,756","35,590"
2012,CWS,Chicago White Sox,U.S. Cellular Field,"1,965,955","24,271"
2012,CIN,Cincinnati Reds,Great American Ball Park,"2,347,251","28,978"
2012,CLE,Cleveland Indians,Progressive Field,"1,603,596","19,797"
2012,COL,Colorado Rockies,Coors Field,"2,630,458","32,475"
2012,DET,Detroit Tigers,Comerica Park,"3,028,033","37,383"
2012,HOU,Houston Astros,Minute Maid Park,"1,607,733","19,849"
2012,KC,Kansas City Royals,Kauffman Stadium,"1,739,859","21,480"
2012,LAA,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,"3,061,770","37,800"
2012,LAD,Los Angeles Dodgers,Dodger Stadium,"3,324,246","41,040"
2012,MIA,Miami Marlins,Marlins Park,"2,219,444","27,401"
2012,MIL,Milwaukee Brewers,Miller Park,"2,831,385","34,955"
2012,MIN,Minnesota Twins,Target Field,"2,776,354","34,276"
2012,NYM,New York Mets,Citi Field,"2,242,803","27,689"
