year,team_abbr,team_name_full,stadium,attendance_total,attendance_game,wins,team,fci,stadium_name,capacity,opened,is_new,is_renovated,renovation_year,notes
2022,TEX,Texas Rangers,Globe Life Field,2011361,24832,68,TEXAS,277.31,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2022,TOR,Toronto Blue Jays,Rogers Centre,2653830,32763,92,TORONTO,230.78,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2022,WAS,Washington Nationals,Nationals Park,2026401,25017,55,WASHINGTON,320.8,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2021,ARI,Arizona Diamondbacks,Chase Field,1043010,12877,52,ARIZONA,144.25,Chase Field,48633,1998,0,0,NA,NA
2021,ATL,Atlanta Braves,Truist Park,2299647,28746,88,ATLANTA,242.96,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2021,BAL,Baltimore Orioles,Oriole Park at Camden Yards,793229,9793,52,BALTIMORE,245.77,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2021,BOS,Boston Red Sox,Fenway Park,1725323,21300,92,BOSTON,376.49,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2021,CHC,Chicago Cubs,Wrigley Field,1978934,24431,71,CHICAGO CUBS,364.38,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
2021,CWS,Chicago White Sox,Guaranteed Rate Field,1596385,19708,93,CHICAGO WHITE SOX,253.25,Rate Field,40615,1991,0,1,"2001, 2015","Major $118M overhaul 2001–2004 (seats, concourses, capacity cut); incremental upgrades 2015–2019"
2021,CIN,Cincinnati Reds,Great American Ball Park,1505024,18581,83,CINCINNATI,218.2,Great American Ball Park,45814,2003,1,0,NA,replaced Cinergy Field
2021,CLE,Cleveland Indians,Progressive Field,1114368,13758,80,CLEVELAND,244.5,Progressive Field,34830,1994,0,1,"2014, 2023",Two separate waves of large-scale renovations
2021,COL,Colorado Rockies,Coors Field,1938645,23934,74,COLORADO,213.63,Coors Field,50398,1995,0,0,NA,NA
2021,DET,Detroit Tigers,Comerica Park,1102621,13613,77,DETROIT,215.04,Comerica Park,41083,2000,0,0,NA,Opened in the first year of my selected time window
2021,HOU,Houston Astros,Minute Maid Park,2068509,25537,95,HOUSTON,347.82,Daikin Park,40963,2000,0,1,2017,"Additional seating, concessions, escalators, etc."
2021,KC,Kansas City Royals,Kauffman Stadium,1159613,14316,74,KANSAS CITY,225.26,Kauffman Stadium,40793,1973,0,1,2009,"reduced seating capacity, new entry ticket gates, wider concourses, new concessions/restrooms, outfield kids area, right field sports bar/restaurant"
2021,LAA,Los Angeles Angels,Angel Stadium of Anaheim,1515689,18484,77,CALIFORNIA/ANAHEIM/LA,193.66,Angel Stadium,45050,1966,0,0,NA,"Major renovation completed in 1998, just before my selected time period"
2021,LAD,Los Angeles Dodgers,Dodger Stadium,2804693,34626,106,LOS ANGELES DODGERS,307.88,Dodger Stadium,56000,1962,0,1,2019,"$100 million renovation included new center field plaza, sports bar/restaurant, new elevators/escalators, new stadium center main entrance, etc."
2021,MIA,Miami Marlins,loanDepot park,642617,7934,67,FLORIDA/Miami,174.54,loanDepot Park,37442,2012,1,0,NA,moved from Joe Robbie Center in 2012
2021,MIL,Milwaukee Brewers,American Family Field,1824282,22522,95,MILWAUKEE,239.76,American Family Field,41900,2001,1,1,2024,$500 million publicly funded renovation beginning in 2024
2021,MIN,Minnesota Twins,Target Field,1310199,16175,73,MINNESOTA,229.14,Target Field,39504,2010,1,0,NA,Moved from Metrodome in 2010
2021,NYM,New York Mets,Citi Field,1511926,18666,77,N.Y. METS,255.28,Citi Field,42000,2009,1,0,NA,Replaced Shea Stadium in 2009
2021,NYY,New York Yankees,Yankee Stadium III,1959854,24196,92,N.Y. YANKEES,340.08,Yankee Stadium,50287,2009,1,0,NA,Replaced original Yankee Stadium in 2009
2021,ATH,Oakland Athletics,RingCentral Coliseum,701430,8660,86,OAKLAND,240.78,Sutter Health Park,14014,2025,1,0,NA,existing Minor League park; Athletics began using the park in 2025
2021,PHI,Philadelphia Phillies,Citizens Bank Park,1515890,18715,82,PHILADELPHIA,268.24,Citizens Bank Park,43035,2004,1,0,NA,Replaced Veterans Stadium in 2004
2021,PIT,Pittsburgh Pirates,PNC Park,859498,10611,61,PITTSBURGH,183.86,PNC Park,38362,2001,1,0,NA,Replaced Three Rivers Stadium in 2001; only minor improvements since opening
2021,SD,San Diego Padres,Petco Park,2191950,27061,79,SAN DIEGO,210.74,Petco Park,39860,2004,1,0,NA,Replaced San Diego Stadium in 2004
2021,SF,San Francisco Giants,Oracle Park,1679484,20734,107,SAN FRANCISCO,297.66,Oracle Park,40260,2000,0,1,2020,Bullpen relocation and center field restructuring; motivation was more player safety than fan experience; not feasible to measure direct impact on attendance since 2020 season had no fans
2021,SEA,Seattle Mariners,T-Mobile Park,1215985,15012,90,SEATTLE,257.85,T-Mobile Park,47574,1999,0,0,NA,NA
2021,STL,St. Louis Cardinals,Busch Stadium III,2102530,25957,90,ST. LOUIS,259.65,Busch Stadium,43975,2006,1,0,NA,replaced Busch Memorial Stadium in 2006
2021,TB,Tampa Bay Rays,Tropicana Field,761072,9396,100,TAMPA BAY,179.86,Tropicana Field,25025,1998,0,1,2014,"major renovations in 2014; roof destroyed by hurricane in 2024, so they played at an alternate (smaller) venue in 2025"
2021,TEX,Texas Rangers,Globe Life Field,2110258,26053,60,TEXAS,286.52,Globe Life Field,40300,2020,1,0,NA,Replaced Globe Life Park in 2020
2021,TOR,Toronto Blue Jays,"Rogers Centre, Sahlen Field, TD Ballpark",805901,10074,91,TORONTO,461.7,Rogers Centre,41500,1989,0,1,2022,"$400 million two-phase renovation--reoriented seats, new outfield social spaces, reduced capacity. Also worth noting that TOR played elsewhere in 2020 and early 2021 due to COVID-related border closures"
2021,WAS,Washington Nationals,Nationals Park,1465543,18093,65,WASHINGTON,338.53,Nationals Park,41565,2008,1,0,NA,Opened 2008; replacement stadium for the team moving from Montreal
2019,ARI,Arizona Diamondbacks,Chase Field,2135510,26364,85,ARIZONA,142.42,Chase Field,48633,1998,0,0,NA,NA
2019,ATL,Atlanta Braves,SunTrust Park,2654920,32777,97,ATLANTA,222.74,Truist Park,41500,2017,1,0,NA,replaced Turner Field
2019,BAL,Baltimore Orioles,Oriole Park at Camden Yards,1307807,16146,54,BALTIMORE,187.8,Oriole Park,45971,1992,0,1,2011,"seat replacement, suite renovation, capacity reduced"
2019,BOS,Boston Red Sox,Fenway Park,2915502,35994,84,BOSTON,354.54,Fenway Park,37673,1912,0,1,2003,"multi-phase renovation between 2002-2011; seats added in Green Monster and roof areas, luxury boxes, overhaul of concourse"
2019,CHC,Chicago Cubs,Wrigley Field,3094865,38208,84,CHICAGO CUBS,370.12,Wrigley Field,41649,1914,0,1,2014,1060 Project--privately funded renovation completed in phases between 2014-2019
